Date,Gaussian_VaR_99,Gaussian_ES_99,Gaussian_Weight_SPX,Gaussian_Weight_NDX,Gaussian_Weight_EURUSD,Gaussian_Weight_USDJPY,Gaussian_Vol_SPX,Gaussian_Vol_NDX,Gaussian_Vol_EURUSD,Gaussian_Vol_USDJPY,StudentT_VaR_99,StudentT_ES_99,StudentT_Weight_SPX,StudentT_Weight_NDX,StudentT_Weight_EURUSD,StudentT_Weight_USDJPY,StudentT_Vol_SPX,StudentT_Vol_NDX,StudentT_Vol_EURUSD,StudentT_Vol_USDJPY
2020-01-02,-0.0075414217921438605,-0.009235679219681828,0.19537571449960794,0.05209405040798118,0.41675240326384944,0.33577783182856147,0.5106210559787496,0.655674689419734,0.3248473784209963,0.3417950762375868,-0.007341757425212969,-0.008974946844457429,0.19537571449960794,0.05209405040798118,0.41675240326384944,0.33577783182856147,0.5106210559787496,0.655674689419734,0.3248473784209963,0.3417950762375868
2020-01-03,-0.00706489020461685,-0.00870761717192831,0.1784389836415318,0.04985916453436581,0.3988733162749265,0.372828535549176,0.49467925111711747,0.6380679408902356,0.3219936901893362,0.3104533898258766,-0.007067781561564893,-0.008651472060657707,0.1784389836415318,0.04985916453436581,0.3988733162749265,0.372828535549176,0.49467925111711747,0.6380679408902356,0.3219936901893362,0.3104533898258766
2020-01-06,-0.007630010377463277,-0.009351732552774831,0.13620258607785687,0.05150831943309825,0.40022253902425897,0.412066555464786,0.6009846744308037,0.770187974676613,0.35319754622515814,0.3085748775022178,-0.007570227637158985,-0.009299166195024605,0.13620258607785687,0.05150831943309825,0.40022253902425897,0.412066555464786,0.6009846744308037,0.770187974676613,0.35319754622515814,0.3085748775022178
2020-01-07,-0.007865491525775939,-0.009708967013926569,0.18037874070078694,0.055204652159883814,0.4416372172790705,0.32277938986025884,0.5745545798201981,0.7377506227832712,0.31913335306329765,0.3663008387458149,-0.00759591065096859,-0.009299733666967114,0.18037874070078694,0.055204652159883814,0.4416372172790705,0.32277938986025884,0.5745545798201981,0.7377506227832712,0.31913335306329765,0.3663008387458149
2020-01-08,-0.007942570333468466,-0.009640308628209578,0.16925838294326864,0.05270818015055554,0.4216654412044443,0.3563679957017315,0.574367339864549,0.7104928851079425,0.3424476867932362,0.357855147382436,-0.007922966522856957,-0.009612592700791778,0.16925838294326864,0.05270818015055554,0.4216654412044443,0.3563679957017315,0.574367339864549,0.7104928851079425,0.3424476867932362,0.357855147382436
2020-01-09,-0.008014658553367495,-0.00985173229181022,0.18565390981621036,0.05216736612004083,0.41733892896032665,0.3448397951034222,0.5509411990138297,0.6849696597626223,0.3500973962055495,0.3634348931500203,-0.00795060717127036,-0.009650717651632473,0.18565390981621036,0.05216736612004083,0.41733892896032665,0.3448397951034222,0.5509411990138297,0.6849696597626223,0.3500973962055495,0.3634348931500203
2020-01-10,-0.008551041518373338,-0.010587342785040725,0.26702823116280267,0.05698694581553024,0.4558955665242419,0.2200892564974251,0.5303738122979195,0.6627701701913877,0.35743422730219654,0.46622442056256785,-0.008289560527388298,-0.010045879529949385,0.26702823116280267,0.05698694581553024,0.4558955665242419,0.2200892564974251,0.5303738122979195,0.6627701701913877,0.35743422730219654,0.46622442056256785
2020-01-13,-0.00795504603618882,-0.009764050611674605,0.23927532589554618,0.059440100256038506,0.47552080204830804,0.22576377180010732,0.5344689709786504,0.6617661485705544,0.3209378717725577,0.4363224141527145,-0.007765869765598993,-0.009359556568687982,0.23927532589554618,0.059440100256038506,0.47552080204830804,0.22576377180010732,0.5344689709786504,0.6617661485705544,0.3209378717725577,0.4363224141527145
2020-01-14,-0.0077081268562454435,-0.00953795060572158,0.22594537530265021,0.05714726359888302,0.4571781087910642,0.25972925230740257,0.5155509947094565,0.6426253846534731,0.3154775911343612,0.3958523583596457,-0.007500499409949579,-0.00904262631459117,0.22594537530265021,0.05714726359888302,0.4571781087910642,0.25972925230740257,0.5155509947094565,0.6426253846534731,0.3154775911343612,0.3958523583596457
2020-01-15,-0.00804433509974436,-0.00972083474909783,0.2651038554440879,0.05706395527814011,0.45651164222512086,0.22132054705265117,0.5057375424500752,0.6655090547760101,0.3239979706624432,0.42889304142565543,-0.007817842573176756,-0.009513545356083787,0.2651038554440879,0.05706395527814011,0.45651164222512086,0.22132054705265117,0.5057375424500752,0.6655090547760101,0.3239979706624432,0.42889304142565543
2020-01-16,-0.007555624082527063,-0.009247553748608545,0.25020101154658014,0.056854324660383156,0.45483459728306525,0.23811006650997157,0.4894199562923571,0.6463717644927406,0.30443760496833305,0.39391847283042736,-0.007303258943055921,-0.008779249654215537,0.25020101154658014,0.056854324660383156,0.45483459728306525,0.23811006650997157,0.4894199562923571,0.6463717644927406,0.30443760496833305,0.39391847283042736
2020-01-17,-0.007469167424584124,-0.009171079119280322,0.24491544052815437,0.053656640230369756,0.42925312184295805,0.27217479739851785,0.4760453347803136,0.6289253992502879,0.3190851176105233,0.3711622506241281,-0.007228175779141105,-0.008837914586517443,0.24491544052815437,0.053656640230369756,0.42925312184295805,0.27217479739851785,0.4760453347803136,0.6289253992502879,0.3190851176105233,0.3711622506241281
2020-01-21,-0.007417439029940273,-0.009078657127839715,0.26656633627629356,0.055779826850685915,0.4462386148054873,0.23141522206753318,0.4635570279078918,0.6129974265949526,0.3067218318420797,0.391048610536938,-0.007273609173061916,-0.008810919925720957,0.26656633627629356,0.055779826850685915,0.4462386148054873,0.23141522206753318,0.4635570279078918,0.6129974265949526,0.3067218318420797,0.391048610536938
