Date,EURUSD,USDJPY,SPX,NDX,EURUSD_Return,USDJPY_Return,SPX_Return,NDX_Return
2022-05-23,0.9460899829864502,127.90299987792969,3973.75,12034.2802734375,0.000867080995798072,0.0005552556135256809,0.018384995412060758,0.01664562817523514
2022-05-24,0.9361500144004822,127.84600067138672,3941.47998046875,11769.83984375,-0.010561948533478476,-0.000445743344953736,-0.008153950903558081,-0.02221895263645775
2022-05-25,0.9314000010490417,126.76899719238281,3978.72998046875,11943.9296875,-0.005086903756243734,-0.00845990936485765,0.009406385648931585,0.014682859351031073
2022-05-26,0.9357500076293945,127.1520004272461,4057.840087890625,12276.7900390625,0.0046595232631954295,0.0030167140875769815,0.019688166007720866,0.02748731770563318
2022-05-27,0.9317100048065186,127.04499816894531,4158.240234375,12681.419921875,-0.004326742311599937,-0.0008418845636392028,0.024441130195822013,0.03242743288183457
2022-05-31,0.9282000064849854,127.78399658203125,4132.14990234375,12642.099609375,-0.0037743788324780527,0.0057999717453317175,-0.006294135193666945,-0.0031054406991979657
2022-06-01,0.9316099882125854,128.73599243164062,4101.22998046875,12548.3603515625,0.003667025726834516,0.0074224252379724845,-0.007510905041155451,-0.007442475496334804
2022-06-02,0.9386000037193298,130.1219940185547,4176.81982421875,12892.8896484375,0.007475147802417968,0.01070868896873556,0.018263225415545106,0.027085961598403367
2022-06-03,0.9301400184631348,129.91799926757812,4108.5400390625,12548.0302734375,-0.009054275021050703,-0.0015689493777079303,-0.016482405609817057,-0.027112266426850797
2022-06-06,0.9323099851608276,130.70700073242188,4121.43017578125,12599.6298828125,0.002330229187763002,0.006054705996789028,0.003132489407036025,0.004103736209939781
2022-06-07,0.9353299736976624,132.17599487304688,4160.68017578125,12711.6796875,0.003234018585488586,0.0111761464658871,0.00947833153171984,0.008853792123020527
2022-06-08,0.9347000122070312,132.8470001220703,4115.77001953125,12615.1298828125,-0.0006737448267775542,0.005063761979174475,-0.010852623040155319,-0.007624353326343241
2022-06-09,0.9330400228500366,134.42999267578125,4017.820068359375,12269.7802734375,-0.001777538375703323,0.011845471972158505,-0.02408645766515553,-0.027757527005542817
2022-06-10,0.9416900277137756,134.41799926757812,3900.860107421875,11832.8203125,0.009228065923660728,-8.92207386365975e-05,-0.029542414811409477,-0.03626229793695641
2022-06-13,0.9532899856567383,134.81399536132812,3749.6298828125,11288.3203125,0.012242981724847671,0.00294167400019962,-0.03953993199003993,-0.04710846247916383
2022-06-14,0.9601399898529053,134.22500610351562,3735.47998046875,11311.6904296875,0.007159952073037745,-0.004378474463305562,-0.003780818039489633,0.002068151717632806
2022-06-15,0.9577999711036682,135.29400634765625,3789.989990234375,11593.76953125,-0.002440138855194688,0.007932693432024867,0.014487058836534478,0.024631102203724393
