,u_spx,u_ndx,u_eurusd,u_usdjpy
0,0.15229252587006803,0.3168180607431461,0.9662015159263566,0.388573790696744
1,0.567217902673771,0.493289869889573,0.2198943145635741,0.4930002119714247
2,0.4363810681883608,0.6629841940539585,0.757802211633268,0.8534132528892768
3,0.5779269810828105,0.8779643734938953,0.8445552015991855,0.658924522101169
4,0.8214031120884087,0.8695389476083301,0.7876066771865309,0.8994448762041029
5,0.7791742065317537,0.7279594321703662,0.29673892294086396,0.534762391448218
6,0.5322753471365638,0.38841895222420547,0.5445616925853696,0.7951234907483118
7,0.388868338934218,0.11984136461456807,0.3543354277058961,0.413794826935344
8,0.2448714841289616,0.025253905006151642,0.3390344097784113,0.8504936716447162
9,0.6451396903949891,0.5003603409287025,0.42999785726568784,0.4977126941722071
10,0.14861564658054757,0.195371011610972,0.6419874579358719,0.7618964633824019
11,0.664442678487337,0.3615102207576865,0.09454141590595701,0.5603133174545678
12,0.9020819834668345,0.8769294278599005,0.82784921511402,0.09224294924204392
13,0.03801035194198496,0.12275444605692487,0.6775131436547445,0.844919073100518
14,0.37371888601908665,0.3735243540792884,0.5903168849740952,0.4036823714638389
15,0.4053702472511627,0.5019658607233465,0.2576620726321987,0.696713309363884
16,0.7480205616631042,0.5179286986665633,0.46300066482258734,0.48179455963688456
17,0.8065346375925306,0.7379158815632632,0.1348597202193201,0.06366113476826137
18,0.7719617397764613,0.4546566195200439,0.5076138165574544,0.49530104288163646
19,0.5847497769089022,0.6067823247795574,0.8601177237914506,0.7215906960625519
20,0.4001914797274255,0.398333067026102,0.735524577987586,0.07883127311641472
21,0.4976967809108359,0.3953980342712385,0.17436029136463102,0.37798583393704016
22,0.5541824098401901,0.8363131402974735,0.22613603325920223,0.8033473786125599
23,0.37301459956017663,0.4573410126595571,0.36148525486384087,0.8128487582275972
24,0.08960512388861626,0.04970839368123009,0.7319734474309165,0.8198593612169847
25,0.25738301342025527,0.3056133390111111,0.8022346747471246,0.5609065989124109
26,0.8303196399491699,0.5697238394692241,0.12043594658865031,0.21343540840977573
27,0.8630292373051132,0.9295294668029705,0.0447320557130931,0.08076577592379038
28,0.5548885598730536,0.672448538197543,0.49543597071194073,0.1028768772792961
29,0.40035076825808646,0.4159293940342885,0.47847703420532195,0.47511641915187874
30,0.6445759079389,0.7392899422642687,0.4208694747846701,0.8165282526099049
31,0.36468869257663417,0.6043216862933978,0.5644495909187957,0.8965730381051398
32,0.3820610322667166,0.6477635630910648,0.6120829633264068,0.7810647645496699
33,0.2144102616396,0.2808281013313335,0.19942201304103235,0.31683099443079693
34,0.35077955869052163,0.21589562613097862,0.30433195463922164,0.25662671231111317
35,0.0003832630503817892,0.0009728085829283676,0.22579548243091996,0.006433507478509736
36,0.5540824786151758,0.5077173889566267,0.5082069399562569,0.6603092454124992
37,0.43641160338264273,0.3985459669647148,0.877262177157409,0.14306677590615682
38,0.24081766626225076,0.20853507361415324,0.5574922739901393,0.2601922219181626
39,0.2674748594258379,0.3296128860754205,0.9299021909325798,0.052869537592135474
40,0.7899380607874295,0.7845136508062677,0.20922986252893885,0.8373271137127194
41,0.44510623428698526,0.4063390864570869,0.21638127020584952,0.16967592602970458
42,0.6633959948965984,0.6073663042022199,0.7353063073856585,0.8940808246277315
43,0.513039447919622,0.4565121610948139,0.6983422286839526,0.861169724294246
44,0.5632608683251816,0.6432616045207493,0.10347815566937528,0.28081339272275785
45,0.06080126525237724,0.09514253284010843,0.45952742430898535,0.08562701271651627
46,0.6172134291646266,0.7232388130008816,0.19377686971875693,0.8174354184086748
47,0.5920008165720403,0.5103160502567822,0.18792837627881512,0.49346456617959633
48,0.3778768926163847,0.43249112921957505,0.2542231820308386,0.34326103649792883
49,0.7715151643705846,0.7168771354898755,0.5235687442178993,0.7855224036636604
50,0.6965221582825711,0.6332413914789423,0.4768963643108155,0.39097557430374064
51,0.9096133988534499,0.9374596567369206,0.06508495359136326,0.5541089104034191
52,0.501430613440736,0.36823388843712956,0.8370287682277658,0.764212988715889
53,0.5160575931409598,0.34687504681835035,0.7566926842252287,0.5040015001415872
54,0.5155497691295999,0.6399375934495961,0.2765747226469276,0.5305919902167574
55,0.2258918313706082,0.21597281834878904,0.26424344563612445,0.33335146466689725
56,0.16920955454056416,0.13353511605105334,0.8034814192294928,0.15355816680857956
57,0.6035180489752148,0.47352112541009067,0.3779444784657425,0.8616740676890031
58,0.43009493241603075,0.47659559555808584,0.31824980649460805,0.4623923730823087
59,0.5844764081949994,0.48195542251556384,0.4076744246634994,0.47018394574426425
60,0.8449391437953843,0.8727982918711643,0.8001975567587652,0.8995665143006232
61,0.5525064724060099,0.605203915428481,0.2017539567178776,0.4918059371134282
62,0.6304407103323766,0.7227477739037262,0.14753822161389835,0.457154201289179
63,0.5061972504370774,0.3427796239409776,0.8873481403456845,0.7488461804966203
64,0.6174920791009718,0.6724733714992399,0.12412961142773989,0.469099165354182
65,0.1433802766004806,0.09423016394981759,0.42209264227162785,0.5887921286275715
66,0.7592906894515044,0.7672291663340185,0.18156416088203525,0.3481238514437627
67,0.6809953893818805,0.5505195728263622,0.29292659273057303,0.6172362043310362
68,0.9228348174513633,0.826147000513837,0.43232293698254304,0.7835078097263924
69,0.6355401290870146,0.49233533597766044,0.21684491476870266,0.15164381933185422
70,0.5105879301940941,0.3810492884650932,0.2267816061378346,0.23199802355966076
71,0.37328180803845434,0.44601897890783493,0.4133135573961629,0.37282853470182087
72,0.9175906529175467,0.7952439961519523,0.7364527681998985,0.7155638744104668
73,0.32750026875103727,0.5873503353323059,0.5471319280194812,0.46524932360361493
74,0.41314359696702735,0.7048355761141158,0.1698245876869719,0.4397731780483753
75,0.9441138466066348,0.9324451478224474,0.45986551377328905,0.6229129343041779
76,0.43485280669643633,0.7177995934821964,0.8236428745228874,0.9028532086482229
77,0.43198401648566476,0.4952892948803048,0.14146020130977793,0.5067241691463777
78,0.058811235782908484,0.034225555021672675,0.49660152477331426,0.41862772970542506
79,0.590532264469831,0.5668893295781358,0.8302992623060347,0.7618932480694922
80,0.821432749642971,0.8045117887371809,0.6068528911826223,0.7329923419452835
81,0.7480431239108899,0.6142445582189276,0.7307264700770113,0.6428394377486215
82,0.6200844085885939,0.45599163153740585,0.28103423823514506,0.4489231447212137
83,0.6432322936018895,0.4536657996755261,0.404502051786386,0.34289303487397005
84,0.37608343644486597,0.5549766298029284,0.8625701947032043,0.44561358289006153
85,0.681171362896237,0.6163835670721288,0.6175397485791384,0.5869309116689087
86,0.013598011179164708,0.02250714547461031,0.8014523879192553,0.3067948247262932
87,0.8044074313984972,0.8282092307092728,0.2570769342737684,0.7341898970744081
88,0.4133972544252087,0.27753698657946346,0.3267789159779288,0.6161351781027107
89,0.3984693303117321,0.1782259065521796,0.1587320256423706,0.4277031813678993
90,0.8332610837493385,0.7903745940081042,0.8804329212182818,0.8361661448078
91,0.44279627818348055,0.34085956195309874,0.7000341900304478,0.8604753567784239
92,0.7920838259452383,0.699387504801918,0.39123035745748125,0.3667594953599431
93,0.5766251297201025,0.7542116982973448,0.8058844255481471,0.7723090459436943
94,0.4237145987899549,0.5883277729144116,0.615682433012349,0.6446967478947617
